"   Full Name             ","Short Name","FSF Free?","GPLv2 Compat?","GPLv3 Compat?","Upstream URL ",
"3dfx Glide License             ","   Glide        ","   Yes         ","NO           ","NO           ","<a href=""http://www.users.on.net/%7Etriforce/glidexp/COPYING.txt"" class=""external free"">http://www.users.on.net/~triforce/glidexp/COPYING.txt</a> ",
"4Suite Copyright License       ","   ASL 1.1      ","   Yes         ","NO           ","NO           ","<a href=""http://4suite.org/COPYRIGHT"" class=""external free"">http://4suite.org/COPYRIGHT</a> ",
"Abstyles License               ","   Abstyles     ","   Yes         ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/Abstyles"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Abstyles</a> ",
"Academic Free License          ","   AFL          ","   Yes         ","NO           ","NO           ","<a href=""http://opensource.org/licenses/afl-3.0.php"" class=""external free"">http://opensource.org/licenses/afl-3.0.php</a> ",
"Academy of Motion Picture Arts and Sciences BSD ","AMPAS BSD"," Yes ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/BSD#AMPASBSD"" class=""external free"">https://fedoraproject.org/wiki/Licensing/BSD#AMPASBSD</a> ",
"Adobe Systems Incorporated Source Code License Agreement"," Adobe  "," Yes "," Yes         ","Yes             ","<a href=""https://fedoraproject.org/wiki/Licensing/AdobeLicense"" class=""external free"">https://fedoraproject.org/wiki/Licensing/AdobeLicense</a> ",
"Adobe Postscript AFM License   ","   APAFML       ","   Yes         "," Yes               ","Yes     ","<a href=""https://fedoraproject.org/wiki/Licensing/AdobePostscriptAFM"" class=""external free"">https://fedoraproject.org/wiki/Licensing/AdobePostscriptAFM</a> ",
"Adobe Glyph List License       ","   MIT          ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/MIT#AdobeGlyph"" class=""external free"">https://fedoraproject.org/wiki/Licensing/MIT#AdobeGlyph</a> ",
"Affero General Public License 1.0","   AGPLv1   ","   Yes         ","NO           ","                   ","<a href=""http://www.affero.org/oagpl.html"" class=""external free"">http://www.affero.org/oagpl.html</a> ",
"Affero General Public License 3.0","   AGPLv3     ","   Yes         ","NO           ","<a href=""http://www.fsf.org/licensing/licenses/gpl-faq.html#v3Notwithstanding"" class=""external text"">Sortof</a>            ","<a href=""http://www.fsf.org/licensing/licenses/agpl-3.0.html"" class=""external free"">http://www.fsf.org/licensing/licenses/agpl-3.0.html</a> ",
"Affero General Public License 3.0 or later","  AGPLv3+ "," Yes      ","NO           ","<a href=""http://www.fsf.org/licensing/licenses/gpl-faq.html#v3Notwithstanding"" class=""external text"">Sortof</a>            ","<a href=""http://www.fsf.org/licensing/licenses/agpl-3.0.html"" class=""external free"">http://www.fsf.org/licensing/licenses/agpl-3.0.html</a> ",
